name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Fire,1.0409,1.306,24548
Rampager's Iron Axe of Fire,2.3523,6.1728,25966
Berserker's Iron Mace of Fire,1.5924,2.8799,25983
Cleric's Iron Sword of Fire,1.9366,3.3595,26238
Berserker's Soft Wood Scepter of Fire,4.4031,7.2026,26393
Rampager's Soft Wood Scepter of Fire,1.3379,2.3999,26396
Cleric's Iron Shield of Fire,1.5155,4.4883,26543
Cleric's Iron Shield of Fire,1.0016,1.597,26555
Berserker's Iron Hammer of Fire,1.2321,1.8796,27632
Magmaton,2.0662,2.855,27638
Cleric's Iron Rifle of Fire,1.1504,1.5004,27962
Rampager's Steam Speargun of Fire,1.021,1.5,28128
Berserker's Soft Wood Longbow of Fire,5.394,7.3936,28256
Incinerator,2379.9999,2940.0,30687
Rodgort,1750.12,2299.9999,30700
Volcanus,332.0405,500.9999,31053
Titans' Vengeance,76.0126,112.99,31055
Mjölnir,935.0,1168.98,31079
Mystic Battlehammer,13.0705,14.9998,31097
Phoenix Reborn,1.0853,1.6053,44987
Combustion,1.8514,2.0915,44991
Al'ir'aska,1.8001,2.9999,47087
Faithful,1.753,1.9999,47091
Pumpkin Smasher,2.7504,4.4898,76131

Lowest 5 buy orders
Cleric's Iron Shield of Fire,1.0016
Rampager's Steam Speargun of Fire,1.021
Superior Sigil of Fire,1.0409
Superior Sigil of Fire,1.0409
Superior Sigil of Fire,1.0409

Lowest 5 sell offers
Superior Sigil of Fire, ,1.306
Superior Sigil of Fire, ,1.306
Superior Sigil of Fire, ,1.306
Superior Sigil of Fire, ,1.306
Superior Sigil of Fire, ,1.306
